Date,Value
2/29/2016,437.76
2/28/2016,431.57
2/27/2016,434.59
2/26/2016,426.16
2/25/2016,424.41
2/24/2016,423.45
2/23/2016,429.96
2/22/2016,438.44
2/21/2016,439.84
2/20/2016,431.45
2/19/2016,420.47
2/18/2016,420.62
2/17/2016,415.46
2/16/2016,404.48
2/15/2016,404.56
2/14/2016,400.55
2/13/2016,390.47
2/12/2016,383.37
2/11/2016,379.49
2/10/2016,380.59
2/9/2016,374.06
2/8/2016,377.53
2/7/2016,378.12
2/6/2016,377.89
2/5/2016,388.85
2/4/2016,380.05
2/3/2016,374.26
2/2/2016,376.37
2/1/2016,373.83
1/31/2016,380.28
1/30/2016,380.11
1/29/2016,376.98
1/28/2016,385.76
1/27/2016,396.67
1/26/2016,395.14
1/25/2016,397.18
1/24/2016,397.9
1/23/2016,389.74
1/22/2016,394.98
1/21/2016,415.04
1/20/2016,394.47
1/19/2016,384.69
1/18/2016,383.9
1/17/2016,385.45
1/16/2016,372.05
1/15/2016,402.74
1/14/2016,431.89
1/13/2016,430.77
1/12/2016,448.57
1/11/2016,448.58
1/10/2016,446.91
1/9/2016,452.07
1/8/2016,456.09
1/7/2016,448.33
1/6/2016,432.11
1/5/2016,433.72
1/4/2016,432.02
1/3/2016,431.13
1/2/2016,434.35
1/1/2016,433.21
12/31/2015,426.52
12/30/2015,430.09
12/29/2015,425.99
12/28/2015,425.03
12/27/2015,418.46
12/26/2015,431.61
12/25/2015,455.25
12/24/2015,454.43
12/23/2015,441.44
12/22/2015,439.89
12/21/2015,437.71
12/20/2015,455.27
12/19/2015,464
12/18/2015,460.73
12/17/2015,455.55
12/16/2015,457.64
12/15/2015,456.75
12/14/2015,441.46
12/13/2015,436.49
12/12/2015,433.3
12/11/2015,432.19
12/10/2015,416.74
12/9/2015,418.08
12/8/2015,397.01
12/7/2015,394.44
12/6/2015,394.26
12/5/2015,374.84
12/4/2015,361.51
12/3/2015,363.13
12/2/2015,356.78
12/1/2015,368.9
